Message,R2DiscussionType
"Cheryl Diaz, you bring up a good point - are we truly using the information gained through the reading or our own beliefs that human nature is fundamentally selfish. You really have me thinking about this.",Seminar
"Since we have each answered the two questions that were proposed, maybe choosing a day/time to all discuss our final answer to the prompt would be best. I am pretty flexible and am available today-thursday just about all day.",Procedure
"Dr. Austin said have fun with it, and it is fun to ponder what might happen in the story. I think the main reason for setting a time to discuss it at the same time would be to test the collaborative software, using the box below instead of this one. I believe we could all write in it at the same time and see each other typing and change each other's words until we all agree we are done with our assessment. If we are able to do that, we might find there are unexpected positives or negatives to the collaboration process or system that we can only otherwise surmise. As you say, we've all responded to the prompts, so what we say doesn't matter that much, so all we'd need is a few minutes to see how using the box works. So if you want to try meeting, I could do Wednesday any time of day. Just set a time and I'll log on then. Thanks.",Procedure
"Hi. I'm not sure if we were supposed to ultimately write an ending to the story or just answer the prompts collectively. I wrote an ending below, and you can change it or replace it. We just want to test the use of the space at the same time, I think.",Procedure
Do you see what I typed in the box below?,Procedure
I did this assignment twice last semester. I think they are just trying to get feedback on how it works/doesn't work. If the prompts and/or grouping is sufficient.,Procedure
"Oh, yay! Can you type a few words in there so I can see if they appear in real time? Then I think we can sign off.",Procedure
Looks good! I guess we can complete the post survey and submit our assignment,"Social, Procedure"
"I added a brief ending. If everyone is good with it, lets hit submit",Deliberation
Hi everyone! I have read the story and am ready to discuss.  I can log back in later to see if anyone else is ready.  Should we try to figure out a time to all come back and work in here together?,Procedure
"I read the story and I am ready for discussion too. Let's decide on a mutual time for this. Thanks,",Procedure
Can we plan on Tuesday the 23rd at 8pm to all meet back here to discuss and answer? Thanks,Procedure
"So, we discuss the prompt here and then write it together in the box below?",Procedure
"Yes. and honestly, the first time I read the prompt I thought we were just answering the questions in a method of critical thinking question. Now I am wondering if we are supposed to write an ending",Procedure
Good point. I thought the same thing about how to answer the questions.,Procedure
It really could be interpreted either way. Just answer questions or write an ending . . . .,Deliberation
"Yes, potentially something for the research team to work on clarifying....",Deliberation
How much longer would you like to wait for Julie before we begin? 5 more minutes?,Procedure
"If you can I can, or we could start and she could catch up?",Procedure
"I hope she's not back on one of the earlier pages, I just went back to reference and clicked the discussion and was left with a blank page, all these messages were not there.",Procedure
"So, what do you think about the questions?",Deliberation
"Ok, so what happens then? Do we choose which door she opens?",Deliberation
Are we all supposed to write our answers below?,Deliberation
"Yes, I think so. We were discussing if we write it like answers or finish the story? Thoughts?",Deliberation
"Good question Julie, we were discussing before you logged on, we are not quite sure if the prompt is looking for just the answers or an ending to be written",Deliberation
I'm not sure about the ending if we pick the door for her...personally as a (casual) author I would not want to pick an ending in this case,Deliberation
Okay so maybe we could each write out an answer for the first part of the question and then we edit the response into one?,Deliberation
"Ok, that works for me. We can just answer the questions.",Deliberation
...then the same for the second part?,Deliberation
Is the second sentence for part 2 okay?,Seminar
I like it. It draws from the story.,Seminar
"So, we title it SUBMITTED and that's it, right?",Deliberation
"Yes, I believe so and then fill out the survey thing back on canvas saying we completed the assignment. And that's it right?",Deliberation
"Yes, and I know that we are going with just answering but should you want to see an ending I was messing around with I would gladly share (we don't have to submit that necessarily)",Deliberation
I believe that is all the survey and canvas yes,Procedure
Yes it fits well with the story,Deliberation
We could leave it in if you want. We've answered the questions and then some. I don't think it would hurt. What do you girls think?,Deliberation
"If you would like, we can leave both our answers and your ending. That way we have both options covered. But if you'd rather not that's okay too.",Deliberation
"I agree, Linda Long. If you are okay with that, Michelle Rivera?",Deliberation
"I feel the flow doesn't entirely match the original story, but I felt it was awkwardly written and okay. We can add (ending) before it?",Deliberation
I say leave it in. It's well-written and adds depth to the answers.,Deliberation
Good with the parentheses?,Deliberation
Good idea. And I agree that original story was very awkwardly written. The syntax was strange.,Seminar
"It might not add to the style in which it was written, but what you predicted to happen fits well with the story in my opinion",Seminar
I agree Linda Long. It makes logical sense as a conclusion based on previous events in the story.,Seminar
"Well, the title of the story is a question - one that may never be answered. I think that was deliberate.",Seminar
I have never heard this story before... and I was wondering if it is some kind of folk tale?  Has anyone else seen this story before and do you know what culture it is from?,Seminar
Hi Helen Howard! I actually had the same question as I had never heard this story before. So I did some research! This short story was written by Frank Stockton in 1882. Stockton wrote a follow up to this story called The Discourager of Hesitancy. He seems to like open-ended stories like these.,Seminar
"Thanks for the info and research, I was wondering about this story as well. I've never read it before.",Seminar
I can't see when people are online but I can see that you've checked the book recently,UX
I can't see anyone either unless they write a message.,UX
"I just asked Samantha if this activity is timed or if we need to spend a certain amount of time in the chat, Samantha said we can take as long as we want",Procedure
"Okay, cool! Should we wait a couple of minutes for Rebecca or get started?",Social
I don't think this e-book times out so we should be ok,UX
"it says Alexandrea, Matthew and Sara looked at this 18 days ago. How is this possible? I thought the activity just opened up this week?",UX
"So regarding part 1 of the question, I think the lady is behind the door!",Seminar
That's what I thought to or how I interpreted the ending,Seminar
Did you guys already read the story? It won't move past the part of four questions for me.,UX
"Oh yeah Rebecca, in order to get past page 8, you have to form 5 questions with the tiles on bottom of screen",UX
I tried to read it before 7 but it's stuck on that one part,UX
"Oh, yeah! You make up the questions and then can advance!",UX
"Yeah I put questions, I'll refresh and try again",UX
"Each time you submit, the lady talks back to you and her icon changes.",UX
It doesn't matter the combo of the questions,UX
"Ok it's finally working. I'll read the next part quickly and then I'll be good to keep going. Sorry guys, thanks for your help",UX
That was in response to Rebecca's question.,Seminar
"Where did you see those descriptions, Natalie?",Seminar
I honestly found the writing style in the story kind of confusing?,Seminar
Me too I had to reread the first couple pages several times before I understood what was going on.,Seminar
I guess that was all we had to do? I don't know if there's anything else to discuss,Procedure
I also found the story confusing and I had to re-read it several times,Seminar
I guess the ending depends on how everyone interprets it,Seminar
I'm so sorry to have missed this initial conversation. I was dealing with some personal matters that prevented me from doing so. But I've caught up and I greatly enjoyed reading the discourse here.,Social
I had similar issues reading the writing style. It took a few times to really get to the core of what was being said.,Seminar
