Message,R2DiscussionType
"But I think he would also revel in the fact that his daughter could be so barbaric. However, he does seem to hold the random chance of fate of the arena in the highest regard so although he loves his daughter above all else I think he may make an example of her. Especially if the people found out what happened",Seminar
"No problem. :) So to jump right in, when I read I felt like she sent him to the door with the tiger.",Seminar
"lol no, it just seemed like what happened based on her father, and her own jealous nature",Seminar
"Yes, she did seem very jealous. The story led me to believe she would rather nobody have him if she could not.",Seminar
"from my thoughts I thought yes, he sets up 2 doors for her and lets the trial decide.",Seminar
"I think so. Even though the story said he loved her so much, I think his barbaric nature would take over his reasoning",Seminar
"Ok, so what happens then? Do we choose which door she opens?",Deliberation
"I think it's barbaric nature but also slightly just (in a warped way), because as it mentions he treated women and men equally so would feel obliged to treat his daughter the same",Seminar
Should we mention that love didn't weigh in to either of their decisions?,Seminar
"I'm not sure how to word it, but I think their barbaric nature made them irrational and maybe incapable of love? Something like that...",Seminar
"Maybe not to enough of a degree not to put her to trial...but he does love her, just like to a degree she loved the man",Seminar
I think she sends him to to the tiger. She could live with his death but not with him living with another woman.,Seminar
 I think she sends him to the tiger. Its clear she had jealousy issues and she was raised by a father that is erratic and delivers justice according to a whim. I dont think she would think reasonably.,Seminar
I don't think the father would put his daughter through the same system of justice. I wonder if he would even be all the upset though - because either way he is rid of the man causing him problems - either to death or to be married off to someone else.,Seminar
I think he would be upset...even just for the fact that her behavior is a bad reflection on him. He sounds very narcissistic so I dont know if he would feel real love for his daughter but her behavior and a public trial would bruise his ego. That in itself would be enough for him to brush her crimes under the carpet.,Seminar
 but maybe he's the only one who knows what she did?,Seminar
"Part 1: What Happens next...I believe in love overall.  I believe she chose to love him by giving him life and happiness.  This is what love truly is.  The story describes her as jovial.  Although her father appears quite selfish, he adores her which means she has seen true love.  So, out comes the lady.",Seminar
"This is such an unfortunate story. It looks to me that no matter the choice, all parties will be unhappy. I'd like to think that even though she did inherit some of her dad's fury, she would still try to give her lover a chance and not pick the door with the tiger. Perhaps, she doesn't want to be as cruel as her father, and in the name of love, sacrificed her fate to allow her lover to live. I agree with some of your sentiments about the obsession and control the father holds over his daughter. She has ",Seminar
"I think the story is supposed to be a 'it's up to interpretation' kind of ending, but in a way that purposefully leads you to believe that she sends him to the tiger. But that feels like such a shallow stereotype of a jealous woman. The story talks a lot about how they understand each other fully, without needing to speak, so I thought that she pointed him toward the door with the woman (her sacrifice, letting him be happy without her), but he knew that and purposefully chose the tiger (his sacrifice, not ",Seminar
"Maybe I'm a skeptic, but I'm not convinced she sends him on to live his happily ever after with another woman.  There's a whole paragraph on the last page about how the whole idea of that tormented here. And she asks Would it not be better for him to die at once  and go to wait for her in the blessed regions of semi-barbaric futurity?""",Seminar
I still think she sent him to the tiger!,Seminar
I believe she sent him to the tiger.  A king's daughter would not want to share a lover or see him with another woman.,Seminar
"Part 1: I think that she guided him to the tiger. She was already jealous, and if she couldn't have him, then no one should.",Seminar
"Part 2: Her father gets extremely upset with her for signaling her lover behind his back. He then forgives her because she has proven to be as strong as the rest of her family. Understanding that if she can't have him, no else can't either.",Seminar
 in being conflicted by happily ever after and greed. I chose the tiger behind the door because the story paints her out to be extremely jealous and barbaric.,Seminar
Marry the girl not the man.,Seminar
"Part One con't: Oops, sent the rest before finishing this thought. I think the lover goes to the door on the left instead of the door on the right, thinking on her barbaric"" nature and that she'd likely betray him  and finds a lady instead of the tiger. I'm assuming even though he knows her  it would leave him in shock knowing that the Princess would want him dead if she cannot keep him to herself.""",Seminar
"Hi Teresa Stewart, I felt that if he truly knew her, he would know her true character and her barbaric side. The story also noted that she had seen her lover talk to the lady before, and assumed that her jealousy would be known to him prior to his tribunal.",Seminar
"If she really loves him, she should want him to be with someone else and alive rather than dead!",Seminar
It was strange because it seems the daughter is jealous of the lady behind the door. so its an interesting twist,Seminar
I'm not sure. They're probably equally beautiful and just jealous :),Seminar
"I think it is entirely possible for the tiger to be behind the door, as the story indicates that she is jealous of the lady and she has a barbaric spirit like her father. However, as Katie said, I don't think she could have watched the tiger eat him if she loved him so much. Also, the end of the story says that she knew he would ask her, just as he knew she would take it upon herself to find out, so I think that she would not be able to lead him to the door with the tiger and live with that, especially if she thought about what she would tell him days before.",Seminar
Since he's barbaric...maybe he puts her in the ring to face her own doors? :(,Seminar
"If he knew his daughter truly loved that man but sent him to the arena because of his barbaric nature, I don't think he would extend any grace to his daughter, even though the story told us that he treasures her.",Seminar
I could be wrong but I think the daughter's door opened up to being with her lover?,Seminar
There appears to be descriptions of her seeing her lover's face?,Seminar
"Not really, no. Considering they mention how barbaric he is. I feel like he's a by-the-book sort of guy",Seminar
"I certainly hoped that she was steering her lover away from the tiger, but can see how she would not want to see him with another woman based on the jealousy discussed above.",Seminar
