Message,R2DiscussionType
"Part 1: What Happens next...I believe in love overall.  I believe she chose to love him by giving him life and happiness.  This is what love truly is.  The story describes her as jovial.  Although her father appears quite selfish, he adores her which means she has seen true love.  So, out comes the lady.",Seminar
"This is such an unfortunate story. It looks to me that no matter the choice, all parties will be unhappy. I'd like to think that even though she did inherit some of her dad's fury, she would still try to give her lover a chance and not pick the door with the tiger. Perhaps, she doesn't want to be as cruel as her father, and in the name of love, sacrificed her fate to allow her lover to live. I agree with some of your sentiments about the obsession and control the father holds over his daughter. She has ",Seminar
"I think the story is supposed to be a 'it's up to interpretation' kind of ending, but in a way that purposefully leads you to believe that she sends him to the tiger. But that feels like such a shallow stereotype of a jealous woman. The story talks a lot about how they understand each other fully, without needing to speak, so I thought that she pointed him toward the door with the woman (her sacrifice, letting him be happy without her), but he knew that and purposefully chose the tiger (his sacrifice, not ",Seminar
I still think she sent him to the tiger!,Seminar
"Part 1
I believe that the lady will be behind the doors. I think that the Princess loved her lover too much to allow him to be eaten by the Tiger. She would rather see him out and about the kingdom happy with someone else then torn into pieces by the tiger.  However, I am a divorced mom of two kids and my interpretation might be a little off, since I always wanted and are still looking for that fairy tale kind of ending. The one where true love exists no matter what the couple faces.

Part 2
I believe that",Seminar
"Part 2
I believe that when the King discovers that his daughter had broken the law by finding out what was behind the door and then signaling to her lover which one to open, he would be in infuriated. The story stated that he was extremely close to the Princess and resented her se ret relationship.  I believe that if the Princess saved her lover from the tiger, he would retry him and put a tiger behind both doors. The Story stated that the King was barbaric in nature so I feel he would make the Princess ",Seminar
Part 1  I believe that the tiger is behind the door.  I think the princess is barbaric and can't stand the thought of her lover with another.,Seminar
Part 1  I believe the tiger will be behind the door.  I think the princess is barbaric and won't be able to stand her lover with another.,Seminar
Part 2  I believe that the king will punish his daughter.  I'm not sure how.  I think it depends on whether the tiger or the woman comes out of the door.  Perhaps he might even make her choose a door.,Seminar
"In addition, I was surprised the lover so quickly chose the right door after the princess signaled him.  He was willing to accept the fate that she chose.  I wonder if he knew what her choice would be.  I still don't think she would allow him to marry another, although that would be the choice I would make if I was in her shoes.",Seminar
"Part 1: If she loves him, the princess will lead her lover to the door that will allow him to live. If she allows greed and envy to cloud her judgement, she will likely lead her lover to his death.",Seminar
"I found myself conflicted for the princess. I always want a happy ending of some kind in the stories I read. However, it seems the princess loses either way in this story. If I were in her place, I would have allowed him to marry the woman rather than have him die a painful and bloody death.",Imaginative entry
"Part 1: I think that she guided him to the tiger. She was already jealous, and if she couldn't have him, then no one should.",Seminar
"Part 2: Her father gets extremely upset with her for signaling her lover behind his back. He then forgives her because she has proven to be as strong as the rest of her family. Understanding that if she can't have him, no else can't either.",Seminar
 in being conflicted by happily ever after and greed. I chose the tiger behind the door because the story paints her out to be extremely jealous and barbaric.,Seminar
"It depends upon where the author wants to take the story. Given the princess's stealth and cunning in find out what was behind each door, I think she would rather see her lover dead than alive.",Seminar
"I agree with you Lillian Flores about it depending on someone, but I feel that it is up to the person reading the story and reflecting on the actions of the characters. In this case, the princess was jealous of the girl and she was also semi-barbaric like her father, so I feel she would have chosen the door with the tiger for the man. If I go with my own emotions, even though the author said not to base it on that, I would think that the princess would make the right choice with the right door and let him marry the man.  Although, would the man trust the princess enough and choose the same door as she indicated? So behind the right door would be the tiger.  They are both semibarbaric, so the King would most likely be disappointed at first, but either way, he got what he wanted and that was to keep his daughter away from this man. In this case, either sentence would be justice in his eyes.",Seminar
"I agree with both of you. To me, it is more likely that the princess would tell the man to open the door to the tiger. There was no mention of the princess questioning the morality of sending him to his death. In fact, it appeared like she was leaning towards it as the more merciful option because he would have a quick death and then be waiting for her in the afterlife. I think if she was going to send him to the other lady, she would have shown more guilt over the option of the tiger.",Seminar
Hi everyone! I think what happens next is that the princess let her lover marry the woman. The reason why I think she would do that is because she loves the man (as they had made each other the center of each others universe) and she would rather see him alive then feel guilty that she is the reason why he dies (she had nightmares of her lover being killed by the tiger). The king represent determinism and barbarism by having chance dictate one's choice (which he had demonstrated in the arena.)  The princess represented free will and progressivism because she actively went out of her way to know which door held which. I do not think a good lover will put harm's way to their love ones. The princess lost the man regardless of which door she choose but at least she can fulfill her role as a lover to never put harms way in his direction and not let the barbaric nature from her father's bloodline to overcome her moral compass.,Seminar
"Yes, I understand the princess hated the to-be-bride but I just can't see the princess letting her lover die when she went to find out which door led to what. Don't you guys think that symbolize the progressive nature of the princess compared to the king's barbarism where the king rather let chance decide than free will? I think the moral of the story is that we can inherit bad and good traits from one's parents but when it comes to determining who we are as a character, our actions tells more than genetics (as the princess has done when she sought info for the doors rather than let her lover relied on chance at the arena).",Seminar
"Hi Rebecca Perez, I think you make an excellent point regarding the Princess representing progressivism and the Kind representing determinism. I believe that the Princess displayed qualities of progressivism from the very beginning; she choose who to love on her own accord which proves that she believes in free will and the importance of making your own decisions in life. With that being said, this is this very reason that I believe she sends her lover to the door of the tiger; she obviously believes in free will, but she still has semi-barbaric tendencies which may cause her to put her own free will above everyone else's.",Seminar
"My first thought was that the Princess would send her lover to the tiger (because she is like her father and seems to spend a lot more time dwelling on what would happen if he chose the door with the lady than what would happen if he got the tiger), but Michelle makes a good point - that she represents free will in opposition to her father (by finding out what was behind each door). I do think that a lot of this story rests in what the reader brings to it - whether the reader thinks that the Princess would send her lover to death or give him a life without her, depends upon the reader's perception of the world and of the context of the story, rather than just the story itself. Now, I do think that the King would alter the punishment for her daughter when he finds out that she broke the law, simply because he loves her so much and I don't think he would send her to the arena (although I think that would make a more interesting story in my opinion).",Seminar
"I think that she sends her lover to another woman. Even though the thought of him being with someone else is devastating, I don't think she could handle knowing that she  I was secretly hoping that the Princess would find a way to be the woman behind the door that I can't see her just setting him up to die! I think that the King would put his daughter through the system caused his death. I agree with the idea that we will all bring our own ideas to how we interpret the story; I have always been a Disney fantasyland"" sort of girl- true love conquers all and all that other stuff. But she took such a risk to love him  even if that meant changing his rules about who could court his daughter. As I was reading the story  defying her father and choosing true love over being a princess!""",Seminar
"Part One: The lover picks the door which the Princess indicates, and the beautiful courtier is revealed. The Princess grappled with her thoughts and instincts, feeling jealous and thinking about sending her lover to his death rather than see him with another woman.  She ended up indicating the door which held the beautiful woman because she realized that she couldn't live with the knowledge that she had sent her lover to his ruin.  Deciding that she would rather see him alive, she shows him which door to pick.",Seminar
"I think she tells him to go to the right but he goes to the left, finding the lady behind the door. In that moment realizes that she led him to his death. The Princess then has to face the fact that he found out she would rather see him dead than with the lady.",Seminar
"Part One: The princess seemed more threatened and bothered by the image of her lover going into the arms of another, than by the image of a tiger tearing him apart. I don't remember her exact words, but she thinks him dying quickly if the tiger is behind the door is a better fate for him. I'm not a fan of the barbaric ancestry and tendencies this text brings up, but it seems to be given as the reason for the King and Princess to act cruel and savagely. Therefore, I do think that that behind the door the Princess motioned to is the tiger. The story reads to me as if the Princess would rather have her lover to herself in perpetuity (in her mind) by killing him off now instead of see him with someone else.",Seminar
"Part One con't: Oops, sent the rest before finishing this thought. I think the lover goes to the door on the left instead of the door on the right, thinking on her barbaric"" nature and that she'd likely betray him  and finds a lady instead of the tiger. I'm assuming even though he knows her  it would leave him in shock knowing that the Princess would want him dead if she cannot keep him to herself.""",Seminar
"Part 1: I think that the princess will choose the door with the lady because even though she is jealous of her beauty, in the end she knows her lover loved her and could not live with the pain of killing her love. I also believe that the lover trusts her and chooses the door she picks, leaving him alive and married to the other lady.",Seminar
"Part one: I think the lover follows the Princess's instructions and opens the door on the right to the tiger. Based on how the Princess is described as barbaric"" like her father  I think the King sends his daughter into the tribunal as well. He seems set in his ways and seems to value power over logic."" and how she struggles between the two options of leading him to his death or leading him to a life. Part two: as mentioned earlier",Seminar
"Hi Kathryn Bell! I am curious to know why you think the lover would not follow the princess's instructions to open the door on the right? While the princess definitely felt untrustworthy to me, I did not get a sense that the lover felt that from her.",Seminar
"Part 1:  I believe that the Princess indicated for her lover to choose the door with the other lady behind it, because her love for him was strong.  Her relationship with him wasn't only passionate feelings, but truly a deep love, that is why it pained the Princess so much to think of her lover with another woman.  I believe that the young man trusted the Princess, because he knew her very well.  He knew that she would defy her father and find the answer to save him.  That's why he looked to her for help.  They knew each other very well.",Seminar
"Part 1: I believe that he chooses the door that the Princess gives him the hint to choose. When he opens the door, the lady is there because the Princess has love that very strong for him. She knows that she would rather know that he is alive and happy than send him to his end.",Seminar
Part 1: I think the princess hints to him the door with the lover. She is described as only semi barberous and so by having her show mercy to her former lover she provides a foil of free will to the Barbarous Kings fate based judicious system.,Seminar
"I feel that with the personalities traits provided to both the king and princess, she decided that death would be more appropriate than another woman, a rival, living happily with her lover. The princess was already wavering with deciding if he was faithful, so why would she give him and her rival the satisfaction? The lion seems to be the only choice for her disposition and upbringing.",Seminar
I have never heard this story before... and I was wondering if it is some kind of folk tale?  Has anyone else seen this story before and do you know what culture it is from?,Seminar
"So regarding part 1 of the question, I think the lady is behind the door!",Seminar
It was strange because it seems the daughter is jealous of the lady behind the door. so its an interesting twist,Seminar
"Okay, I agree, I think the lady is behind the door.",Seminar
"So it definitely seems like the princess hates the lady behind the door. But if it were me, I couldn't stand to see the man I love being eaten by a tiger.",Seminar
Do you think the lady is more beautiful than the princess?,Seminar
"I think it is entirely possible for the tiger to be behind the door, as the story indicates that she is jealous of the lady and she has a barbaric spirit like her father. However, as Katie said, I don't think she could have watched the tiger eat him if she loved him so much. Also, the end of the story says that she knew he would ask her, just as he knew she would take it upon herself to find out, so I think that she would not be able to lead him to the door with the tiger and live with that, especially if she thought about what she would tell him days before.",Seminar
I could be wrong but I think the daughter's door opened up to being with her lover?,Seminar
"Yeah, I think you're right. But it would be interesting if her lover ended up being behind the door she chose. Although I think the story said that it was people in the king's court that decide who goes behind the door, not the king.",Seminar
Based on the princess' description I had almost expected her to not make any motion towards the door. I assumed she would take the same 'let Fate decide' attitude as the king,Seminar
"I certainly hoped that she was steering her lover away from the tiger, but can see how she would not want to see him with another woman based on the jealousy discussed above.",Seminar
"Though, I do think it would have been particularly interesting to see her point him to the tiger, just for the tiger to not eat him by some stroke of luck. Perhaps the universe truly showing that the innocent go unpunished in this king's model of justice",Seminar
