Message,R2DiscussionType
"I think the lady is behind the door. If she truly loved him as the story seems to claim, she would not have wanted him mauled. Plus, if she wants a future with any man she wouldn’t want the world to see her first lover as someone who deserved to be punished.",Seminar
I think she may not trust him enough to give him the door with the lady behind it. They really focused on her jealousy and how she's a lot like her father.,Seminar
She's definitely her father's child.,Seminar
"I think it would depend on how much she truly trust her lover. If she had faith in him truly, she would let him live with the lady. At least he would be alive and happy. But if she was full of distrust or jealousy she would kill her lover. Even if she is semi-barbaric she seems to be fair or at least a follower of her Father. I would say she would point to the Lady in the end.",Seminar
I agree he will forgive his daughter because he loves her so.,Seminar
"Live without was the first one I put.  Then Trust, Love, and then Know",Deliberation
Live Without Him is probably the most important question,Deliberation
I feel like it would be the opposite because she went to all the hassle to find out.,Seminar
I am under the impression that she would rather see him dead than in the arms of another woman.,Seminar
keeping one's orbs in line is essential,Seminar
or maybe he put her behind one of the doors!,Seminar
Oh that would be a good punishment for her!,Seminar
I know live without him,Deliberation
since she will lose him anyway*,Seminar
"lol no, it just seemed like what happened based on her father, and her own jealous nature",Seminar
"Yes, she did seem very jealous. The story led me to believe she would rather nobody have him if she could not.",Seminar
"I think so. Even though the story said he loved her so much, I think his barbaric nature would take over his reasoning",Seminar
"I think it's barbaric nature but also slightly just (in a warped way), because as it mentions he treated women and men equally so would feel obliged to treat his daughter the same",Seminar
Should we mention that love didn't weigh in to either of their decisions?,Seminar
"I'm not sure how to word it, but I think their barbaric nature made them irrational and maybe incapable of love? Something like that...",Seminar
"Maybe not to enough of a degree not to put her to trial...but he does love her, just like to a degree she loved the man",Seminar
He was tied to his own idealistic principles?,Seminar
I don't think the father would put his daughter through the same system of justice. I wonder if he would even be all the upset though - because either way he is rid of the man causing him problems - either to death or to be married off to someone else.,Seminar
I think he would be upset...even just for the fact that her behavior is a bad reflection on him. He sounds very narcissistic so I dont know if he would feel real love for his daughter but her behavior and a public trial would bruise his ego. That in itself would be enough for him to brush her crimes under the carpet.,Seminar
 but maybe he's the only one who knows what she did?,Seminar
"Part 1: What Happens next...I believe in love overall.  I believe she chose to love him by giving him life and happiness.  This is what love truly is.  The story describes her as jovial.  Although her father appears quite selfish, he adores her which means she has seen true love.  So, out comes the lady.",Seminar
"Maybe I'm a skeptic, but I'm not convinced she sends him on to live his happily ever after with another woman.  There's a whole paragraph on the last page about how the whole idea of that tormented here. And she asks Would it not be better for him to die at once  and go to wait for her in the blessed regions of semi-barbaric futurity?""",Seminar
"Part 2: Her father gets extremely upset with her for signaling her lover behind his back. He then forgives her because she has proven to be as strong as the rest of her family. Understanding that if she can't have him, no else can't either.",Seminar
Marry the girl not the man.,Seminar
"I enjoyed reading all of your perspectives.  Nicole Gonzalez- I also found the idea of barbarism"" kind of unsettling... I guess it was a pretty common theme in story telling in the ""old  but reading from my 21st century perspective days""  it feels like labeling the society as ""other"" or ""bad"".""",Seminar
"Hi Teresa Stewart, I felt that if he truly knew her, he would know her true character and her barbaric side. The story also noted that she had seen her lover talk to the lady before, and assumed that her jealousy would be known to him prior to his tribunal.",Seminar
"If she really loves him, she should want him to be with someone else and alive rather than dead!",Seminar
I had to ask my spouse for help,Social
I could be wrong but I think the daughter's door opened up to being with her lover?,Seminar
There appears to be descriptions of her seeing her lover's face?,Seminar
