Message,R2DiscussionType
"I added a brief ending. If everyone is good with it, lets hit submit",Deliberation
"I read the story and I am ready for discussion too. Let's decide on a mutual time for this. Thanks,",Procedure
"Yes. and honestly, the first time I read the prompt I thought we were just answering the questions in a method of critical thinking question. Now I am wondering if we are supposed to write an ending",Procedure
Good point. I thought the same thing about how to answer the questions.,Procedure
It really could be interpreted either way. Just answer questions or write an ending . . . .,Deliberation
"Yes, potentially something for the research team to work on clarifying....",Deliberation
"So, what do you think about the questions?",Deliberation
does this mean we are barbaric too?,Imaginative
Are we all supposed to write our answers below?,Deliberation
"Yes, I think so. We were discussing if we write it like answers or finish the story? Thoughts?",Deliberation
"Good question Julie, we were discussing before you logged on, we are not quite sure if the prompt is looking for just the answers or an ending to be written",Deliberation
I think we are supposed to surmise or predict what we think happens,Deliberation
Okay so maybe we could each write out an answer for the first part of the question and then we edit the response into one?,Deliberation
...then the same for the second part?,Deliberation
"Yes, I'd rather keep it simple lol",Deliberation
Is the second sentence for part 2 okay?,Seminar
I like it. It draws from the story.,Seminar
"Yes, and I know that we are going with just answering but should you want to see an ending I was messing around with I would gladly share (we don't have to submit that necessarily)",Deliberation
Yes it fits well with the story,Deliberation
We could leave it in if you want. We've answered the questions and then some. I don't think it would hurt. What do you girls think?,Deliberation
"If you would like, we can leave both our answers and your ending. That way we have both options covered. But if you'd rather not that's okay too.",Deliberation
"I feel the flow doesn't entirely match the original story, but I felt it was awkwardly written and okay. We can add (ending) before it?",Deliberation
I say leave it in. It's well-written and adds depth to the answers.,Deliberation
Good with the parentheses?,Deliberation
Good idea. And I agree that original story was very awkwardly written. The syntax was strange.,Seminar
"It might not add to the style in which it was written, but what you predicted to happen fits well with the story in my opinion",Seminar
I agree Linda Long. It makes logical sense as a conclusion based on previous events in the story.,Seminar
"Well, the title of the story is a question - one that may never be answered. I think that was deliberate.",Seminar
"I agree with Anne Marie and Rachel, ",Seminar
"I enjoyed reading all of your perspectives.  Nicole Gonzalez- I also found the idea of barbarism"" kind of unsettling... I guess it was a pretty common theme in story telling in the ""old  but reading from my 21st century perspective days""  it feels like labeling the society as ""other"" or ""bad"".""",Seminar
Hi Helen Howard! I feel this text is meant to unsettle in a way. It wasn't just the barbarism but also the mention of ancestry and blood that made me think it was fatalistic in a way. Kind of like the King and Princess were destined to act in cruel ways. I'm glad that someone else picked up on it too and I really liked your point that it does feel labeling a society in sweeping terms.,Seminar
I have never heard this story before... and I was wondering if it is some kind of folk tale?  Has anyone else seen this story before and do you know what culture it is from?,Seminar
Hi Helen Howard! I actually had the same question as I had never heard this story before. So I did some research! This short story was written by Frank Stockton in 1882. Stockton wrote a follow up to this story called The Discourager of Hesitancy. He seems to like open-ended stories like these.,Seminar
"Thanks for the info and research, I was wondering about this story as well. I've never read it before.",Seminar
I don't think this e-book times out so we should be ok,UX
That's what I thought to or how I interpreted the ending,Seminar
Did you guys already read the story? It won't move past the part of four questions for me.,UX
"Oh, sorry! Yes I read it",Seminar
I tried to read it before 7 but it's stuck on that one part,UX
"Not really, no. Considering they mention how barbaric he is. I feel like he's a by-the-book sort of guy",Seminar
I honestly found the writing style in the story kind of confusing?,Seminar
Me too I had to reread the first couple pages several times before I understood what was going on.,Seminar
I guess that was all we had to do? I don't know if there's anything else to discuss,Procedure
I also found the story confusing and I had to re-read it several times,Seminar
I guess the ending depends on how everyone interprets it,Seminar
I'm so sorry to have missed this initial conversation. I was dealing with some personal matters that prevented me from doing so. But I've caught up and I greatly enjoyed reading the discourse here.,Social
I had similar issues reading the writing style. It took a few times to really get to the core of what was being said.,Seminar
